word,phonemes,g2p_alignment
a,a,a}a
b,b e,b}b|e
c,tʃ e,c}tʃ|e
d,d e,d}d|e
e,e,e}e
f,e f,f}e|f
g,ɡ e,g}ɡ|e
h,h a,h}h|a
i,i,i}i
j,dʒ e,j}dʒ|e
k,k a,k}k|a
l,e l,l}e|l
m,e m,m}e|m
n,e n,n}e|n
o,o,o}o
p,p e,p}p|e
q,k i,q}k|i
r,e r,r}e|r
s,e s,s}e|s
t,t e,t}t|e
u,u,u}u
v,v e,v}v|e
w,w e,w}w|e
x,e k s,
y,j e,y}j|e
z,z e t,
--nya,- - ɲ a,-}- -}- n|y}ɲ a}a
-anda,- a n d a,-}- a}a n}n d}d a}a
-baur,- b a u r,-}- b}b a}a u}u r}r
-belas,- b ə l a s,-}- b}b e}ə l}l a}a s}s
-compeng,- tʃ o m p e ŋ,-}- c}tʃ o}o m}m p}p e}e n|g}ŋ
-delapan,- d ə l a p a n,-}- d}d e}ə l}l a}a p}p a}a n}n
-kan,- k a n,-}- k}k a}a n}n
-ku,- k u,-}- k}k u}u
-lah,- l a h,-}- l}l a}a h}h
-lenggang,- l e ŋ ɡ a ŋ,-}- l}l e}e n|g}ŋ g}ɡ a}a n|g}ŋ
-mahasiswa,- m a h a s i s w a,-}- m}m a}a h}h a}a s}s i}i s}s w}w a}a
-nya,- ɲ a,-}- n|y}ɲ a}a
-sedarah,- s ə d a r a h,-}- s}s e}ə d}d a}a r}r a}a h}h
-sepit,- s ə p i t,-}- s}s e}ə p}p i}i t}t
-tak,- t a ʔ,-}- t}t a}a k}ʔ
-wan,- w a n,-}- w}w a}a n}n
-wati,- w a t i,-}- w}w a}a t}t i}i
a'bah,a ʔ b a h,a}a '}ʔ b}b a}a h}h
a'du,a ʔ d u,a}a '}ʔ d}d u}u
a'had,a ʔ h a d,a}a '}ʔ h}h a}a d}d
a-go-go,a - ɡ o - ɡ o,a}a -}- g}ɡ o}o -}- g}ɡ o}o
ab,a b,a}a b}b
ab'ad,a b ʔ a d,a}a b}b '}ʔ a}a d}d
aba,a b a,a}a b}b a}a
abad,a b a d,a}a b}b a}a d}d
abadi,a b a d i,a}a b}b a}a d}d i}i
abadiah,a b a d i a h,a}a b}b a}a d}d i}i a}a h}h
abadikan,a b a d i k a n,a}a b}b a}a d}d i}i k}k a}a n}n
abah,a b a h,a}a b}b a}a h}h
abai,a b a i,a}a b}b a}a i}i
abaian,a b a i a n,a}a b}b a}a i}i a}a n}n
abaikan,a b a i k a n,a}a b}b a}a i}i k}k a}a n}n
abaimana,a b a i m a n a,a}a b}b a}a i}i m}m a}a n}n a}a
abaka,a b a k a,a}a b}b a}a k}k a}a
abakus,a b a k u s,a}a b}b a}a k}k u}u s}s
abang,a b a ŋ,a}a b}b a}a n|g}ŋ
abangan,a b a ŋ a n,a}a b}b a}a n|g}ŋ a}a n}n
abangnya,a b a ŋ ɲ a,a}a b}b a}a n|g}ŋ n|y}ɲ a}a
abar,a b a r,a}a b}b a}a r}r
abaran,a b a r a n,a}a b}b a}a r}r a}a n}n
abatoar,a b a t o a r,a}a b}b a}a t}t o}o a}a r}r
abau,a b a u,a}a b}b a}a u}u
abdas,a b d a s,a}a b}b d}d a}a s}s
abdi,a b d i,a}a b}b d}d i}i
abdikasi,a b d i k a s i,a}a b}b d}d i}i k}k a}a s}s i}i
abdomen,a b d o m e n,a}a b}b d}d o}o m}m e}e n}n
abdominal,a b d o m i n a l,a}a b}b d}d o}o m}m i}i n}n a}a l}l
abdu,a b d u,a}a b}b d}d u}u
abece,a b e tʃ e,a}a b}b e}e c}tʃ e}e
aben,a b e n,a}a b}b e}e n}n
aberasi,a b ə r a s i,a}a b}b e}ə r}r a}a s}s i}i
abet,a b ə t,a}a b}b e}ə t}t
abian,a b i a n,a}a b}b i}i a}a n}n
abid,a b i d,a}a b}b i}i d}d
abidin,a b i d i n,a}a b}b i}i d}d i}i n}n
abilah,a b i l a h,a}a b}b i}i l}l a}a h}h
abis,a b i s,a}a b}b i}i s}s
abisal,a b i s a l,a}a b}b i}i s}s a}a l}l
abiturien,a b i t u r i e n,a}a b}b i}i t}t u}u r}r i}i e}e n}n
abjad,a b dʒ a d,a}a b}b j}dʒ a}a d}d
abjadiah,a b dʒ a d i a h,a}a b}b j}dʒ a}a d}d i}i a}a h}h
ablasi,a b l a s i,a}a b}b l}l a}a s}s i}i
ablaut,a b l a u t,a}a b}b l}l a}a u}u t}t
abnormal,a b n o r m a l,a}a b}b n}n o}o r}r m}m a}a l}l
abnormalitas,a b n o r m a l i t a s,a}a b}b n}n o}o r}r m}m a}a l}l i}i t}t a}a s}s
abnus,a b n u s,a}a b}b n}n u}u s}s
aboi,a b o i,a}a b}b o}o i}i
abolisi,a b o l i s i,a}a b}b o}o l}l i}i s}s i}i
abon,a b o n,a}a b}b o}o n}n
abonemen,a b o n ə m e n,a}a b}b o}o n}n e}ə m}m e}e n}n
aborsi,a b o r s i,a}a b}b o}o r}r s}s i}i
abortus,a b o r t u s,a}a b}b o}o r}r t}t u}u s}s
abrak,a b r a ʔ,a}a b}b r}r a}a k}ʔ
abrakadabra,a b r a k a d a b r a,a}a b}b r}r a}a k}k a}a d}d a}a b}b r}r a}a
abrar,a b r a r,a}a b}b r}r a}a r}r
abras,a b r a s,a}a b}b r}r a}a s}s
abrasi,a b r a s i,a}a b}b r}r a}a s}s i}i
abreaksi,a b r e a ʔ s i,a}a b}b r}r e}e a}a k}ʔ s}s i}i
abrek,a b r ə ʔ,a}a b}b r}r e}ə k}ʔ
abreviasi,a b r e v i a s i,a}a b}b r}r e}e v}v i}i a}a s}s i}i
abrik,a b r i ʔ,a}a b}b r}r i}i k}ʔ
abrikos,a b r i k o s,a}a b}b r}r i}i k}k o}o s}s
absah,a b s a h,a}a b}b s}s a}a h}h
absen,a b s e n,a}a b}b s}s e}e n}n
absensi,a b s e n s i,a}a b}b s}s e}e n}n s}s i}i
